,player,span,playing_team,matches,innings,not_out,runs,strike_rate,average,balls_faced,highest_score,hundreds,fifties,ducks,fours,sixes
0,V Kohli (RCB),2008-2025,RCB,267,259,40.0,8661,132.85,39.54,6519,113*,8.0,63.0,10.0,771,291
1,RG Sharma (DCH/MI),2008-2025,DCH/MI,272,267,30.0,7046,132.09,29.73,5334,109*,2.0,47.0,18.0,640,302
2,S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,DC/DCH/MI/PBKS/SRH,222,221,29.0,6769,127.14,35.25,5324,106*,2.0,51.0,11.0,768,152
3,DA Warner (DC/SRH),2009-2024,DC/SRH,184,184,22.0,6565,139.77,40.52,4697,126,4.0,62.0,11.0,663,236
4,SK Raina (CSK/GL),2008-2021,CSK/GL,205,200,30.0,5528,136.73,32.51,4043,100*,1.0,39.0,8.0,506,203
5,MS Dhoni (CSK/RPS),2008-2025,CSK/RPS,278,242,100.0,5439,137.45,38.3,3957,84*,,24.0,6.0,375,264
6,KL Rahul (DC/KXIP/LSG/PBKS/RCB/SRH),2013-2025,DC/KXIP/LSG/PBKS/RCB/SRH,145,136,23.0,5222,136.02,46.21,3839,132*,5.0,40.0,4.0,452,208
7,AB de Villiers (DC/RCB),2008-2021,DC/RCB,184,170,40.0,5162,151.68,39.7,3403,133*,3.0,40.0,10.0,413,251
8,AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2025,CSK/DC/KKR/MI/RPS/RR,198,183,18.0,5032,125.01,30.49,4025,105*,2.0,33.0,13.0,514,123
9,CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,KKR/KXIP/PBKS/RCB,142,141,16.0,4965,148.96,39.72,3333,175*,6.0,31.0,8.0,404,357
10,RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,CSK/KKR/MI/PWI/RCB/RR,205,197,17.0,4952,130.35,27.51,3799,88,,27.0,8.0,481,182
